Data,Reservas
05/01/2020,100
06/01/2020,101.67466524090021
07/01/2020,103.40517707030628
08/01/2020,105.20142308093727
09/01/2020,107.08629121890215
10/01/2020,108.464694885368
11/01/2020,109.32839441973563
12/01/2020,110.15364220464021
13/01/2020,112.20092320819425
14/01/2020,114.23849972259809
15/01/2020,116.244582423156
16/01/2020,118.42131764990231
17/01/2020,119.86856825826393
18/01/2020,120.72036606065488
19/01/2020,121.49452794984428
20/01/2020,126.60384993563909
21/01/2020,128.6687088818048
22/01/2020,130.3849386328389
23/01/2020,132.02005350286282
24/01/2020,133.2722988103761
25/01/2020,134.01167102147988
26/01/2020,134.62305383794236
27/01/2020,136.08971342460435
28/01/2020,137.89383288869683
29/01/2020,139.68751544936362
30/01/2020,141.25689613816263
31/01/2020,142.53880422383313
01/02/2020,143.24686572465984
02/02/2020,143.81247264890439
03/02/2020,145.15553732657804
04/02/2020,146.82306152829224
05/02/2020,148.3345814893278
06/02/2020,149.74191551967539
07/02/2020,151.06959949756379
08/02/2020,151.78040755192359
09/02/2020,152.26453338802025
10/02/2020,153.91814171850024
11/02/2020,155.59207454512494
12/02/2020,157.22645700087341
13/02/2020,158.73211764770508
14/02/2020,159.9867433016137
15/02/2020,160.65104304948008
16/02/2020,161.30032830469898
17/02/2020,162.76772030563649
18/02/2020,164.39844069000748
19/02/2020,165.974230003717
20/02/2020,167.61520418794481
21/02/2020,168.67702178383161
22/02/2020,169.38160431684975
23/02/2020,169.94757744823207
24/02/2020,170.59411614991785
25/02/2020,171.49590122661081
26/02/2020,172.10929818233086
27/02/2020,172.27354208360873
28/02/2020,172.21549825227643
29/02/2020,172.27665484427956
01/03/2020,172.21549825227643
02/03/2020,172.27665484427956
03/03/2020,172.32536039359942
04/03/2020,171.95329394165222
05/03/2020,171.76744381924749
07/03/2020,171.51109882282717
09/03/2020,170.85137666418257
10/03/2020,171.20751310563796
11/03/2020,170.39453325984778
12/03/2020,169.42829572691204
13/03/2020,168.29067325351238
14/03/2020,166.63688181946355
15/03/2020,164.92980724687305
16/03/2020,163.84125652993103
17/03/2020,162.902484532326
18/03/2020,160.37931735327453
19/03/2020,157.68696247658562
20/03/2020,154.39292927258447
21/03/2020,150.47048462021573
22/03/2020,147.86528704230975
23/03/2020,147.20208591585657
24/03/2020,145.98389787215342
25/03/2020,141.58117255863434
26/03/2020,137.19547587702033
27/03/2020,131.19260847513178
28/03/2020,127.37691320341524
29/03/2020,123.92156575523813
30/03/2020,122.89105886962844
31/03/2020,121.71461843962801
01/04/2020,117.79839930860092
02/04/2020,114.415560873697
03/04/2020,110.93586065085994
04/04/2020,107.30436756942829
05/04/2020,105.16132339935437
06/04/2020,104.70100102721102
07/04/2020,101.21599080087671
08/04/2020,98.985972435588749
09/04/2020,94.414608735138856
10/04/2020,91.742395251025826
11/04/2020,86.872023422608535
12/04/2020,81.787969729318
13/04/2020,75.8546816836007
14/04/2020,74.527363912850021
15/04/2020,71.17968136316945
16/04/2020,65.4174120507783
17/04/2020,62.16256301051564
18/04/2020,55.880096458960082
19/04/2020,52.550907369735548
20/04/2020,50.649926117709953
21/04/2020,49.285438322478349
22/04/2020,46.355048806256285
23/04/2020,43.782992974316059
24/04/2020,41.148681928959476
25/04/2020,39.162557517408572
26/04/2020,37.2769569651682
27/04/2020,36.671616566478491
28/04/2020,36.088431699622262
29/04/2020,34.595405199042737
30/04/2020,32.586759048520619
